,symbol,concept,contexts,types,label
86,mintPlant,theVirginMary,generalOrUnknown,AttributeSimulation,the Virgin Mary
87,springWater,theVirginMary,christian,Simulation,the Virgin Mary
88,starOfTheSea,theVirginMary,generalOrUnknown,EmblematicSimulation,the Virgin Mary
89,whiteFlower,theVirginMary,christian,AttributeSimulation,the Virgin Mary
90,sealedFountain,theVirginMary,christian,Simulation,the Virgin Mary
91,whiteRose,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
92,whiteSwan,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
93,walledOrClosedGarden,theVirginMary,christian,EmblematicSimulation,the Virgin Mary
94,cacalia,adulation,flowerLanguage,Simulation,adulation
95,cactusWren,arizona,generalOrUnknown,Simulation,Arizona
96,casaGrandeSoil,arizona,generalOrUnknown,Simulation,Arizona
97,apacheTrout,arizona,generalOrUnknown,Simulation,Arizona
98,arizonaTreeFrog,arizona,generalOrUnknown,Simulation,Arizona
99,coltSingleActionArmy,arizona,generalOrUnknown,Simulation,Arizona
100,copper,arizona,generalOrUnknown,Simulation,Arizona
101,crotalusWillardi,arizona,generalOrUnknown,Simulation,Arizona
102,flagOfArizona,arizona,generalOrUnknown,Simulation,Arizona
103,lemonade,arizona,generalOrUnknown,Simulation,Arizona
104,papilioMulticaudata,arizona,generalOrUnknown,Simulation,Arizona
105,parkinsoniaFlorida,arizona,generalOrUnknown,Simulation,Arizona
106,sonorasaurus,arizona,generalOrUnknown,Simulation,Arizona
107,ringTailedCat,arizona,generalOrUnknown,Simulation,Arizona
108,saguaro,arizona,generalOrUnknown,Simulation,Arizona
109,sealOfArizona,arizona,generalOrUnknown,Simulation,Arizona
110,stateSongsOfArizona,arizona,generalOrUnknown,Simulation,Arizona
111,wulfenite,arizona,generalOrUnknown,Simulation,Arizona
112,arizona,arizona,generalOrUnknown,Simulation,Arizona
113,boloTie,arizona,generalOrUnknown,Simulation,Arizona
114,petrifiedWood,arizona,generalOrUnknown,Simulation,Arizona
115,turquoise,arizona,generalOrUnknown,Simulation,Arizona
116,cadencyLabelsOfTheBritishRoyalFamily,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
117,britannia,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
118,britishEnsign,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
119,dieuEtMonDroit,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
120,crownJewelsOfTheUnitedKingdom,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
121,flagOfTheUnitedKingdom,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
122,inventoryOfElizabethIOfEngland,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
123,johnBull,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
124,josephMorewoodStaniforth,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
125,lion,theUnitedKingdom,generalOrUnknown,EmblematicSimulation,the United Kingdom
126,royalCoatOfArmsOfTheUnitedKingdom,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
127,ruleBritannia,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
128,theLionAndTheUnicorn,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
129,unionJack,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
130,coatOfArmsOfThePrinceOfWales,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
131,inMyDefensGodMeDefend,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
132,landOfHopeAndGlory,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
133,nationalColoursOfTheUnitedKingdom,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
134,nemoMeImpuneLacessit,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
135,princeOfWalesSFeathers,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
136,stEdwardSCrown,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
137,tudorCrownHeraldry,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
138,unicorn,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
139,historicalFlagsOfTheBritishEmpireAndTheOverseasTerritories,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
140,godSaveTheQueen,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
141,listOfCountriesAndTerritoriesWithTheUnionJackDisplayedOnTheirFlag,theUnitedKingdom,generalOrUnknown,Simulation,the United Kingdom
142,caducues,paxGoddess,roman,Simulation,Pax (goddess)
143,oliveBranches,paxGoddess,roman,Simulation,Pax (goddess)
144,sceptre,paxGoddess,roman,Simulation,Pax (goddess)
145,corn,paxGoddess,roman,Simulation,Pax (goddess)
146,cornucopia,paxGoddess,roman,Simulation,Pax (goddess)
147,caesalpiniaPulcherrima,barbados,generalOrUnknown,Simulation,Barbados
148,coatOfArmsOfBarbados,barbados,generalOrUnknown,Simulation,Barbados
149,barbadianNationalHeroes,barbados,generalOrUnknown,Simulation,Barbados
150,barbadosNationalPledge,barbados,generalOrUnknown,Simulation,Barbados
151,flagOfBarbados,barbados,generalOrUnknown,Simulation,Barbados
152,inPlentyAndInTimeOfNeed,barbados,generalOrUnknown,Simulation,Barbados
153,listOfBarbadianFlags,barbados,generalOrUnknown,Simulation,Barbados
154,dolphin,barbados,generalOrUnknown,Simulation,Barbados
155,pelican,barbados,generalOrUnknown,Simulation,Barbados
156,caliban,spiritualDecay,generalOrUnknown,Simulation,spiritual decay
157,gangrene,spiritualDecay,generalOrUnknown,Simulation,spiritual decay
158,putrefaction,spiritualDecay,generalOrUnknown,Simulation,spiritual decay
159,cancerDisease,spiritualDecay,generalOrUnknown,Simulation,spiritual decay
160,californiaGrizzlyBear,california,generalOrUnknown,Simulation,California
161,californianSchooner,california,generalOrUnknown,Simulation,California
162,californiaQuail,california,generalOrUnknown,Simulation,California
163,californiaRepublic,california,generalOrUnknown,Simulation,California
164,californiaStateTartan,california,generalOrUnknown,Simulation,California
165,alYoung,california,generalOrUnknown,Simulation,California
166,benitoite,california,generalOrUnknown,Simulation,California
167,denim,california,generalOrUnknown,Simulation,California
168,desertTortoise,california,generalOrUnknown,Simulation,California
169,flagOfCalifornia,california,generalOrUnknown,Simulation,California
170,eschscholziaCalifornica,california,generalOrUnknown,Simulation,California
171,eurekaWord,california,generalOrUnknown,Simulation,California
172,cupressusMacrocarpa,california,generalOrUnknown,Simulation,California
173,goldColor,california,generalOrUnknown,Simulation,California
174,goldenTrout,california,generalOrUnknown,Simulation,California
175,garibaldiFish,california,generalOrUnknown,Simulation,California
176,greatSealOfCalifornia,california,generalOrUnknown,Simulation,California
177,hollywoodSign,california,generalOrUnknown,Simulation,California
178,islandOfCalifornia,california,generalOrUnknown,Simulation,California
179,kingClone,california,generalOrUnknown,Simulation,California
180,mountWhitney,california,generalOrUnknown,Simulation,California
181,nassellaPulchra,california,generalOrUnknown,Simulation,California
182,sanJoaquinSoil,california,generalOrUnknown,Simulation,California
183,serpentineSubgroup,california,generalOrUnknown,Simulation,California
184,sequoiaSempervirens,california,generalOrUnknown,Simulation,California
185,westCoastSwing,california,generalOrUnknown,Simulation,California
186,zereneEurydice,california,generalOrUnknown,Simulation,California
187,boloTie,california,generalOrUnknown,Simulation,California
188,grizzlyBear,california,american @ generalOrUnknown,EmblematicSimulation @ Simulation,California
189,goldenGateBridge,california,american @ generalOrUnknown,EmblematicSimulation @ Simulation,California
190,orangeFruit,california,generalOrUnknown,Simulation,California
191,sequoiadendronGiganteum,california,generalOrUnknown,Simulation,California
192,gold,california,generalOrUnknown,Simulation,California
193,californiaGull,utah,generalOrUnknown,Simulation,Utah
194,calochortusNuttallii,utah,generalOrUnknown,Simulation,Utah
195,alphaUrsaeMajoris,utah,generalOrUnknown,Simulation,Utah
196,allosaurus,utah,generalOrUnknown,Simulation,Utah
197,coal,utah,generalOrUnknown,Simulation,Utah
198,bonnevilleCutthroatTrout,utah,generalOrUnknown,Simulation,Utah
199,beehiveCluster,utah,generalOrUnknown,Simulation,Utah
200,beehive,utah,american @ generalOrUnknown,EmblematicSimulation @ Simulation,Utah
201,copper,utah,generalOrUnknown,Simulation,Utah
202,dutchOven,utah,generalOrUnknown,Simulation,Utah
203,gilaMonster,utah,generalOrUnknown,Simulation,Utah
204,flagOfUtah,utah,generalOrUnknown,Simulation,Utah
205,jellO,utah,generalOrUnknown,Simulation,Utah
206,listOfUtahStateSymbols,utah,generalOrUnknown,Simulation,Utah
207,oryzopsisHymenoides,utah,generalOrUnknown,Simulation,Utah
208,rockyMountainElk,utah,generalOrUnknown,Simulation,Utah
209,sealOfUtah,utah,generalOrUnknown,Simulation,Utah
210,populusTremuloides,utah,generalOrUnknown,Simulation,Utah
211,ussUtahBb,utah,generalOrUnknown,Simulation,Utah
212,utahThisIsThePlace,utah,generalOrUnknown,Simulation,Utah
213,utahWeLoveThee,utah,generalOrUnknown,Simulation,Utah
214,sweetOnion,utah,generalOrUnknown,Simulation,Utah
215,topaz,utah,generalOrUnknown,Simulation,Utah
216,elk,utah,generalOrUnknown,Simulation,Utah
217,utah,utah,generalOrUnknown,Simulation,Utah
218,squareDance,utah,generalOrUnknown,Simulation,Utah
219,westernHoneyBee,utah,generalOrUnknown,Simulation,Utah
220,callaAethiopica,magnificentBeauty,flowerLanguage,Simulation,magnificent beauty
221,lily,magnificentBeauty,heraldic,Simulation,magnificent beauty
222,calliopeMusic,theCircus,generalOrUnknown,EmblematicSimulation,the circus
223,elephant,theCircus,generalOrUnknown,AssociationSimulation,the circus
224,sealAnimal,theCircus,generalOrUnknown,Simulation,the circus
225,calophyllum,nauru,generalOrUnknown,Simulation,Nauru
226,coatOfArmsOfNauru,nauru,generalOrUnknown,Simulation,Nauru
227,flagOfNauru,nauru,generalOrUnknown,Simulation,Nauru
228,margaretHendrie,nauru,generalOrUnknown,Simulation,Nauru
229,laurenceHenryHicks,nauru,generalOrUnknown,Simulation,Nauru
230,nauruBwiema,nauru,generalOrUnknown,Simulation,Nauru
231,calycanthus,benevolence,flowerLanguage,Simulation,benevolence
232,almsBowl,benevolence,generalOrUnknown,Simulation,benevolence
233,rooster,benevolence,chinese,Simulation,benevolence
234,bear,benevolence,japanese,Simulation,benevolence
235,swan,benevolence,celtic,Simulation,benevolence
236,ape,benevolence,hindu,Simulation,benevolence
237,almsBox,benevolence,generalOrUnknown,Simulation,benevolence
238,confucius,benevolence,generalOrUnknown,Simulation,benevolence
239,asp,benevolence,greek,Simulation,benevolence
240,elmWithVineOnIt,benevolence,generalOrUnknown,Simulation,benevolence
241,lizard,benevolence,egyptian,Simulation,benevolence
242,kyLin,benevolence,chinese,Simulation,benevolence
243,jupiterPlanet,benevolence,generalOrUnknown,AssociationSimulation,benevolence
244,orangeColor,benevolence,generalOrUnknown,Simulation,benevolence
245,valerian,benevolence,generalOrUnknown,Simulation,benevolence
246,unicorn,benevolence,chinese,Simulation,benevolence
247,potato,benevolence,flowerLanguage,Simulation,benevolence
248,zadkielArchangel,benevolence,generalOrUnknown,AssociationSimulation,benevolence
249,kiTheMale,benevolence,japanese,Simulation,benevolence
250,rinTheFemale,benevolence,japanese,Simulation,benevolence
251,calymeneCelebra,wisconsin,generalOrUnknown,Simulation,Wisconsin
252,americanBadger,wisconsin,generalOrUnknown,Simulation,Wisconsin
253,antigoSoil,wisconsin,generalOrUnknown,Simulation,Wisconsin
254,cheesehead,wisconsin,generalOrUnknown,Simulation,Wisconsin
255,badger,wisconsin,american,EmblematicSimulation,Wisconsin
256,flagOfWisconsin,wisconsin,generalOrUnknown,Simulation,Wisconsin
257,muskellunge,wisconsin,generalOrUnknown,Simulation,Wisconsin
258,sealOfMilwaukee,wisconsin,generalOrUnknown,Simulation,Wisconsin
259,sealOfWisconsin,wisconsin,generalOrUnknown,Simulation,Wisconsin
260,polka,wisconsin,generalOrUnknown,Simulation,Wisconsin
261,acerSaccharum,wisconsin,generalOrUnknown,Simulation,Wisconsin
262,americanRobin,wisconsin,generalOrUnknown,Simulation,Wisconsin
263,galena,wisconsin,generalOrUnknown,Simulation,Wisconsin
264,granite,wisconsin,generalOrUnknown,Simulation,Wisconsin
265,violaSororia,wisconsin,generalOrUnknown,Simulation,Wisconsin
266,westernHoneyBee,wisconsin,generalOrUnknown,Simulation,Wisconsin
267,whiteTailedDeer,wisconsin,generalOrUnknown,Simulation,Wisconsin
268,caminemosPisandoLasSendasDeNuestraInmensaFelicidad,equatorialGuinea,generalOrUnknown,Simulation,Equatorial Guinea
269,coatOfArmsOfEquatorialGuinea,equatorialGuinea,generalOrUnknown,Simulation,Equatorial Guinea
270,flagOfEquatorialGuinea,equatorialGuinea,generalOrUnknown,Simulation,Equatorial Guinea
271,ceibaPentandra,equatorialGuinea,generalOrUnknown,Simulation,Equatorial Guinea
272,canadaTulip,canada,generalOrUnknown,Simulation,Canada
273,canadianDualityFlag,canada,generalOrUnknown,Simulation,Canada
274,canadianFootball,canada,generalOrUnknown,Simulation,Canada
275,canadianHorse,canada,generalOrUnknown,Simulation,Canada
276,canadianParliamentaryFlagProgram,canada,generalOrUnknown,Simulation,Canada
277,canadianPavilion,canada,generalOrUnknown,Simulation,Canada
278,canadianRedEnsign,canada,generalOrUnknown,Simulation,Canada
279,aMariUsqueAdMare,canada,generalOrUnknown,Simulation,Canada
280,boxLacrosse,canada,generalOrUnknown,Simulation,Canada
281,canadian,canada,generalOrUnknown,EmblematicSimulation,Canada
282,eastVanCross,canada,generalOrUnknown,Simulation,Canada
283,flagOfCanada,canada,generalOrUnknown,Simulation,Canada
284,greatSealOfCanada,canada,generalOrUnknown,Simulation,Canada
285,federalIdentityProgram,canada,generalOrUnknown,Simulation,Canada
286,iceHockey,canada,generalOrUnknown,Simulation,Canada
287,lacrosseInCanada,canada,generalOrUnknown,Simulation,Canada
