symbol,concept,contexts,types
saracaAsoca,uttarPradesh,generalOrUnknown,Simulation
saracen,serviceInTheCrusades,heraldic,Simulation
sarcophagus,earthAsTheBeginningAndEndOfMaterialLife,generalOrUnknown,Simulation
sardony,irony,flowerLanguage,Simulation
sarniaCherie,guernsey,generalOrUnknown,Simulation
sarraceniaPurpurea,newfoundlandAndLabrador,generalOrUnknown,Simulation
sarusCrane,uttarPradesh,generalOrUnknown,Simulation
sasakiaCharonda,japan,generalOrUnknown,Simulation
satinflower,sincerity,flowerLanguage,Simulation
satyamevaJayate,india,generalOrUnknown,Simulation
saul,perfectFriendship,jewish,Simulation
saussureaObvallata,uttarakhand,generalOrUnknown,Simulation
savoyBlue,italy,generalOrUnknown,Simulation
saxifragaOppositifolia,nunavut,generalOrUnknown,Simulation
sayaunThungaPhulka,nepal,generalOrUnknown,Simulation
scalesBalance,dikeMythology,greek,Simulation
scaphellaJunonia,alabama,generalOrUnknown,Simulation
scarabArtifact,khepri,egyptian,Simulation
scarf,falseFront,generalOrUnknown,Simulation
scarletIbis,trinidadAndTobago,generalOrUnknown,Simulation
scarletMacaw,honduras,generalOrUnknown,Simulation
scepter,militaryCommand,generalOrUnknown,Simulation
scepter,monarchs,generalOrUnknown,AttributeSimulation
scepter,supremeAuthority,chinese,Simulation
scepter,theCreativePowerOfTheWord,generalOrUnknown,Simulation
scepter,theGodOfLearningAndLiterature,chinese,AttributeSimulation
scepter,theHighestAuthority,hindu,Simulation
scepter,thePowerOfChastity,generalOrUnknown,Simulation
scepter,thePowerOfFaith,chinese,Simulation
scepter,thePowerThatDeathTakesAway,stillLife,Simulation
scepter,vasu,hindu,AttributeSimulation
sapphire,aFoundationStoneOfTheNewJerusalem,christian,Simulation
sapphire,charm,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,charm,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,theElementEarth,hindu,CorrespondenceSimulation
sapphire,theHighPriestSBreastplate,jewish,AttributeSimulation
sapphire,venus,generalOrUnknown,AssociationSimulation
sarcophagus,theFemininePrincipleOfContainment,generalOrUnknown,Simulation
saw,utu,mesopotamian,Simulation
scarf,middleAge,generalOrUnknown,RelatednessSimulation
scarletAuricula,avarice,flowerLanguage,Simulation
scepter,europe,generalOrUnknown,AttributeSimulation
scepter,goodGovernment,generalOrUnknown,AttributeSimulation
scepter,highOffice,generalOrUnknown,Simulation
scepter,magicians,generalOrUnknown,AttributeSimulation
sapphire,mercury,generalOrUnknown,AssociationSimulation
sapphire,reward,generalOrUnknown,Simulation
sandals,liberty,generalOrUnknown,Simulation
sandals,monastics,christian,AttributeSimulation
sandals,pilgrims,christian,AttributeSimulation
sandals,royalty,generalOrUnknown,AttributeSimulation
sapphire,apollo,greek,AssociationSimulation
sapphire,charm,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,charm,generalOrUnknown,Simulation
sapphire,charm,generalOrUnknown,Simulation
sapphire,charm,generalOrUnknown,Simulation
sapphire,charm,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,charm,generalOrUnknown,ProtectionSimulation
sapphire,charm,generalOrUnknown,Simulation
sapphire,chastity,generalOrUnknown,Simulation
sapphire,conscience,generalOrUnknown,Simulation
sapphire,gemini,generalOrUnknown,AssociationSimulation
sapphire,hope,generalOrUnknown,Simulation
sapphire,jupiter,generalOrUnknown,AssociationSimulation
sapphire,libra,generalOrUnknown,AssociationSimulation
sapphire,meditation,generalOrUnknown,Simulation
sapphire,money,generalOrUnknown,Simulation
sapphire,piety,heraldic,Simulation
sapphire,power,generalOrUnknown,Simulation
sapphire,prosperity,hindu,Simulation
sapphire,purity,generalOrUnknown,Simulation
sapphire,september,greek,AssociationSimulation
sapphire,sincerity,generalOrUnknown @ heraldic,Simulation
sapphire,taurus,generalOrUnknown,AssociationSimulation
sapphire,theArchangelsCassiel,generalOrUnknown,AssociationSimulation
sapphire,theVirginMary,christian,EmblematicSimulation
sapphire,truth,generalOrUnknown,Simulation
sapphire,virgo,generalOrUnknown,AssociationSimulation
oak,fire,generalOrUnknown,Simulation
oak,force,generalOrUnknown,Simulation
oak,jupiterPlanet,celtic,AssociationSimulation
oak,liberty,generalOrUnknown,Simulation
oak,longevity,generalOrUnknown,Simulation
oak,man,generalOrUnknown,Simulation
oak,nobility,celtic,Simulation
oak,power,heraldic,Simulation
oak,pride,heraldic,Simulation
nose,inquisitiveness,generalOrUnknown,Simulation
serpent,buddha,buddhist,AssociationSimulation
serpent,chaos,hindu,Simulation
serpent,christ,manichean,Simulation
serpent,chronos,grecoRoman,AttributeSimulation
serpent,courage,heraldic,Simulation
serpent,craftiness,christian,Simulation
serpent,cronusSaturn,grecoRoman,AttributeSimulation
serpent,cunning,chinese,Simulation
serpent,danger,generalOrUnknown,Simulation
serpent,death,generalOrUnknown,Simulation
serpent,deceit,chinese,Simulation
serpent,destruction,christian,Simulation
serpent,earth,generalOrUnknown,AttributeSimulation
serpent,energy,generalOrUnknown,Simulation
serpent,eternity,northAmericanIndian,Simulation
sheafAgriculture,alphaOmicronPi,heraldic,Simulation
sheep,blindFollowing,generalOrUnknown,Simulation
serpentineSubgroup,california,generalOrUnknown,Simulation
serpentSymbolism,kebechet,egyptian,Simulation
serviceFree,prudence,flowerLanguage,Simulation
setAnimal,setDeity,egyptian,Simulation
severnRiver,anAspectOfTheCosmicRiverFromWhichAllComesAndAllReturns,english,Simulation
shadBoat,northCarolina,generalOrUnknown,Simulation
shaheedMinarDhaka,bangladesh,generalOrUnknown,Simulation
shaheenFalcon,pakistan,generalOrUnknown,Simulation
shakaSign,hawaii,generalOrUnknown,Simulation
shakingHands,adelanteFraternity,heraldic,Simulation
shakingSainfoin,agitation,flowerLanguage,Simulation
shankha,neminatha,jain,Simulation
sharkTooth,georgiaUSState,generalOrUnknown,Simulation
sharpTailedGrouse,saskatchewan,generalOrUnknown,Simulation
shattAlArab,iraq,generalOrUnknown,Simulation
shcheNeVmerlaUkraina,ukraine,generalOrUnknown,Simulation
sheen,time,generalOrUnknown,Simulation
sheep,sigmaPhiRho,heraldic,Simulation
sheep,straying,generalOrUnknown,Simulation
sheep,theEighthAnimalOfTheTwelveCelestialBranches,chinese,Simulation
sheep,theFlockOfChrist,christian,Simulation
sheep,theHigherQualitiesAndVirtuesOfTheSoul,generalOrUnknown,Simulation
sheep,theRetiringLife,chinese,Simulation
sheep,usuryPersonified,generalOrUnknown,AttributeSimulation
sheep,wiliness,generalOrUnknown,Simulation
sexualIntercourse,theConjunctionOfOpposites,generalOrUnknown,Simulation
sexualIntercourse,theReturnOfSpring,generalOrUnknown,Simulation
sexualIntercourse,unionOfTheMasculineAndFemininePrinciples,generalOrUnknown,Simulation
sheep,guilelessness,generalOrUnknown,Simulation
sheep,theFaithful,christian,Simulation
sheep,obstinacy,generalOrUnknown,Simulation
serpent,evil,chinese @ christian @ generalOrUnknown @ jewish,Simulation
serpent,fecundity,african,AssociationSimulation
serpent,fertility,generalOrUnknown @ grecoRoman @ minoan,Simulation
serpent,fire,hindu,Simulation
serpent,force,generalOrUnknown,Simulation
serpent,ghost,minoan,Simulation
serpent,growth,maori,Simulation
serpent,hades,greek,Simulation
serpent,healing,grecoRoman,Simulation
serpent,healingWaters,celtic,AssociationSimulation
serpent,hermesMercury,grecoRoman,AttributeSimulation
serpent,hiding,generalOrUnknown,Simulation
serpent,immortality,minoan,Simulation
serpent,innocence,generalOrUnknown,AttributeSimulation
serpent,instinct,heraldic,Simulation
serpent,ishtar,sumeroSemitic,AttributeSimulation
serpent,janus,grecoRoman,AttributeSimulation
serpent,jealousy,generalOrUnknown,Simulation
serpent,leviathan,jewish,Simulation
serpent,lightning,australianAboriginal @ northAmericanIndian,AssociationSimulation @ Simulation
serpent,logic,generalOrUnknown,AttributeSimulation
serpent,maenadsBacchantes,grecoRoman,AttributeSimulation
serpent,magicPower,northAmericanIndian,AssociationSimulation
serpent,malevolence,chinese,Simulation
serpent,materialism,generalOrUnknown,Simulation
serpent,nature,hindu,Simulation
serpent,night,generalOrUnknown,Simulation
serpent,pregnancy,australianAboriginal @ oceanic,AssociationSimulation
serpent,rain,northAmericanIndian,AssociationSimulation
serpent,regeneration,generalOrUnknown,Simulation
serpent,renewalOfLife,grecoRoman,Simulation
serpent,resurrection,grecoRoman @ minoan,Simulation
serpent,royalty,african,Simulation
serpent,sabazios,phrygian,AttributeSimulation
serpent,sacredToApollo,grecoRoman,Simulation
serpent,secrecy,generalOrUnknown,Simulation
serpent,sin,generalOrUnknown @ jewish @ kabalistic,EmblematicSimulation @ Simulation
serpent,slavery,generalOrUnknown,Simulation
serpent,strategy,heraldic,Simulation
serpent,subtlety,generalOrUnknown,Simulation
serpent,temptation,generalOrUnknown @ jewish,Simulation
serpent,theDevil,christian,Simulation
serpent,theFemininePrinciple,generalOrUnknown,Simulation
serpent,theGrave,christian,Simulation
serpent,theGreatGoddess,minoan,AttributeSimulation
serpent,theGreatMother,generalOrUnknown,AttributeSimulation
serpent,theLifePrinciple,grecoRoman @ islamic,Simulation
serpent,theMasculinePrinciple,australianAboriginal,Simulation
serpent,theMoon,northAmericanIndian,AssociationSimulation
serpent,theSoul,grecoRoman,Simulation
raven,messengerOfTheGods,assyrian @ japanese,Simulation
raven,solitude,christian @ generalOrUnknown,Simulation
sapphire,protectionFromPoison,generalOrUnknown,Simulation
sapphire,theCommandOfSpirits,generalOrUnknown,Simulation
sapphire,theUnderstandingOfProphecies,generalOrUnknown,Simulation
sapphire,eyeDiseases,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,harm,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,envy,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,healing,generalOrUnknown,Simulation
sapphire,meditation,generalOrUnknown,Simulation
sapphire,peace,generalOrUnknown,Simulation
sapphire,plague,generalOrUnknown,ProtectionSimulation @ Simulation
sapphire,poison,generalOrUnknown,ProtectionSimulation
sapphire,psychicPower,generalOrUnknown,Simulation
rending,aBreakWithExistingOrder,generalOrUnknown,Simulation
rending,anAttemptToBreakThroughToAnotherPlane,generalOrUnknown,Simulation
rending,anIrrevocableStep,generalOrUnknown,Simulation
ring,aContract,generalOrUnknown,Simulation
ring,anEternallyRepeatedCycle,generalOrUnknown,Simulation
ring,bond,generalOrUnknown,Simulation
river,bringersOfSpiritualInfluencesFromTheUpperWorldToTheLowerWorld,kabalistic,Simulation
reedPens,thoth,egyptian,Simulation
reefTriggerfish,hawaii,generalOrUnknown,Simulation
regaliaOfNorway,norway,generalOrUnknown,Simulation
regaliaOfRomania,romania,generalOrUnknown,Simulation
regaliaOfSpain,spain,generalOrUnknown,Simulation
regaliaOfSweden,sweden,generalOrUnknown,Simulation
regaliaOfTheNetherlands,theNetherlands,generalOrUnknown,Simulation
regaliaOfTheRussianTsars,russia,generalOrUnknown,Simulation
regionalTartansOfCanada,canada,generalOrUnknown,Simulation
reichskriegsflagge,naziGermany,generalOrUnknown,Simulation
renantheraImschootiana,mizoram,generalOrUnknown,Simulation
representativeBrassBandOfTheNationalGuardsUnitOfBulgaria,bulgaria,generalOrUnknown,Simulation
republicPThunderbolt,indiana,generalOrUnknown,Simulation
resin,depilatory,generalOrUnknown,Simulation
resin,theSoulSubstanceOfATree,generalOrUnknown,Simulation
resplendentQuetzal,guatemala,generalOrUnknown,Simulation
rhodeIslandGreening,rhodeIsland,generalOrUnknown,Simulation
rhodeIslandRed,rhodeIsland,generalOrUnknown,Simulation
rhodeIslandSItForMe,rhodeIsland,generalOrUnknown,Simulation
rhododendronMacrophyllum,washingtonState,generalOrUnknown,Simulation
rhododendronMaximum,westVirginia,generalOrUnknown,Simulation
rhododendronNiveum,sikkim,generalOrUnknown,Simulation
rhomb,vagina,generalOrUnknown,Simulation
rhombus,betaThetaPi,heraldic,Simulation
rhynchostylisGigantea,assam,generalOrUnknown,Simulation
ribbonOfSaintGeorge,russia,generalOrUnknown,Simulation
ring,authenticity,generalOrUnknown,Simulation
ring,equatedWithThePersonality,generalOrUnknown,Simulation
ring,faithfulAffectionGivenFreely,christian,Simulation
ring,groupMembership,generalOrUnknown,Simulation
ring,legitimacy,generalOrUnknown,Simulation
ring,spiritualMarriage,christian,Simulation
ring,theFemaleGenitals,generalOrUnknown,Simulation
ring,vow,generalOrUnknown,Simulation
ringTailedCat,arizona,generalOrUnknown,Simulation
ringTailedLemur,madagascar,generalOrUnknown,Simulation
rioGrandeCutthroatTrout,newMexico,generalOrUnknown,Simulation
riseOVoicesOfRhodesia,rhodesia,generalOrUnknown,Simulation
risingSunFlag,japan,generalOrUnknown,Simulation
river,flowingOfTheSacredHaoma,persian,Simulation
river,obedienceToTimeLifeTheLaw,generalOrUnknown,Simulation
river,theCreativePowerOfTimeAndNature,generalOrUnknown,Simulation
river,theFluxOfLife,buddhist,Simulation
river,theIrreversiblePassageOfTime,generalOrUnknown,Simulation
river,theSenseOfLoss,generalOrUnknown,Simulation
resin,embalming,generalOrUnknown,Simulation
ring,femaleLove,generalOrUnknown,Simulation
river,entranceToTheUnderworld,generalOrUnknown,Simulation
reed,indiscretion,generalOrUnknown,Simulation
reed,jasper,celtic,AssociationSimulation
reed,justice,generalOrUnknown,Simulation
reed,october,celtic,AssociationSimulation
reed,panFaunus,grecoRoman,AttributeSimulation
reed,plenty,mexicanIndian,Simulation
reed,quietness,generalOrUnknown,Simulation
reed,resilience,generalOrUnknown,Simulation
reed,royalty,egyptian,Simulation
reed,thePassionOfChrist,christian,AttributeSimulation
reed,transitoriness,generalOrUnknown,Simulation
reed,vulva,generalOrUnknown,Simulation
reed,wantonness,generalOrUnknown,Simulation
reed,weakness,generalOrUnknown,Simulation
reed,wealth,mexicanIndian,Simulation
reed,woman,generalOrUnknown,Simulation
roseOfSharon,christSLoveForTheChurch,christian,Simulation
rubber,9thWeddingAnniversaries,generalOrUnknown,AssociationSimulation
saffron,bewareOfExcess,flowerLanguage,Simulation
sanctuaryLamp,thePresenceOfTheHostAtTheAltar,anglican @ catholic,Simulation
rotaPoem,poland,generalOrUnknown,Simulation
round,shapeOfTheWesternContinentAndTheFacesOfItsInhabitants,kalmyk,Simulation
royalArmsOfCambodia,cambodia,generalOrUnknown,Simulation
royalArmsOfEngland,england,generalOrUnknown,Simulation
royalArmsOfScotland,scotland,generalOrUnknown,Simulation
royalAustralianAirForceEnsign,australia,generalOrUnknown,Simulation
royalBadgeOfWales,wales,generalOrUnknown,Simulation
royalBadgesOfEngland,england,generalOrUnknown,Simulation
royalBannerOfScotland,scotland,generalOrUnknown,Simulation
royalCanadianMountedPolice,canada,generalOrUnknown,Simulation
royalCoatOfArmsOfGreatBritain,greatBritain,generalOrUnknown,Simulation
royalCoatOfArmsOfTheUnitedKingdom,theUnitedKingdom,generalOrUnknown,Simulation
royalSaluteAnthem,iran,generalOrUnknown,Simulation
royalStandardsOfEngland,england,generalOrUnknown,Simulation
royalSupportersOfEngland,england,generalOrUnknown,Simulation
roystonea,haiti,generalOrUnknown,Simulation
roystoneaRegia,cuba,generalOrUnknown,Simulation
rubberTree,cancer,generalOrUnknown,AssociationSimulation
rubusOccidentalis,alabama,generalOrUnknown,Simulation
rudbeckiaHirta,maryland,generalOrUnknown,Simulation
ruffedGrouse,pennsylvania,generalOrUnknown,Simulation
rufousHornero,argentina,generalOrUnknown,Simulation
rufousVentedChachalaca,trinidadAndTobago,generalOrUnknown,Simulation
rufstDuMeinVaterland,switzerland,generalOrUnknown,Simulation
rukunNegara,malaysia,generalOrUnknown,Simulation
ruleBritannia,theUnitedKingdom,generalOrUnknown,Simulation
rum,mamanBrigitte,voodoo,Simulation
russianBear,russia,generalOrUnknown,Simulation
russianCrossReligion,russia,generalOrUnknown,Simulation
russianHeraldry,russia,generalOrUnknown,Simulation
russianOrthodoxCross,russia,generalOrUnknown,Simulation
rutaGraveolens,lithuania,generalOrUnknown,Simulation
rwandaNziza,rwanda,generalOrUnknown,Simulation
rwandaRwacu,rwanda,generalOrUnknown,Simulation
rye,connectedWithLove,generalOrUnknown,Simulation
ryTanindrazanayMalala,madagascar,generalOrUnknown,Simulation
saadiShirazi,iran,generalOrUnknown,Simulation
sacagaweaDollar,wyoming,generalOrUnknown,Simulation
sacredBull,zeus,greek,Simulation
sacredLotusInReligiousArt,padmaprabha,jain,Simulation
sacrifice,givingUpSomethingOfLowerValueForSomethingOfValueOnAHigherPlane,generalOrUnknown,Simulation
sacrifice,restoringPrimordialUnity,generalOrUnknown,Simulation
sacrifice,reunitingWhatIsScatteredInManifestation,generalOrUnknown,Simulation
sacrifice,submissionToDivineGuidanceThroughReconciliation,generalOrUnknown,Simulation
saddle,martialReadiness,heraldic,Simulation
saffron,disinterestedness,generalOrUnknown,Simulation
saffron,doNotAbuse,flowerLanguage,Simulation
saffron,theVirginMaryEspeciallyWhenWithSpikenard,christian,AttributeSimulation
saguaro,arizona,generalOrUnknown,Simulation
sainfoin,agitation,flowerLanguage,Simulation
saintCasimir,lithuania,generalOrUnknown,Simulation
saintLuciaAmazon,saintLucia,generalOrUnknown,Simulation
saintPatrickSSaltire,ireland,generalOrUnknown,Simulation
saintPublius,malta,generalOrUnknown,Simulation
saintSophiaSCathedralKyiv,kyiv,generalOrUnknown,Simulation
saintVincentLandSoBeautiful,saintVincentAndTheGrenadines,generalOrUnknown,Simulation
saintVladimirMonument,kyiv,generalOrUnknown,Simulation
salamAlBey,tunisia,generalOrUnknown,Simulation
salaThaiArchitecture,thailand,generalOrUnknown,Simulation
salusPopuliSupremaLexEsto,missouri,generalOrUnknown,Simulation
salutToiPaysDeNosAEux,togo,generalOrUnknown,Simulation
salveATiNicaragua,nicaragua,generalOrUnknown,Simulation
salveOhPatria,ecuador,generalOrUnknown,Simulation
sandals,theLowestMaterialLife,generalOrUnknown,Simulation
sandals,theWealthyEspeciallyInAncientArt,generalOrUnknown,AttributeSimulation
rosyCheek,youth,generalOrUnknown,Simulation
saffron,auroraMythology,roman,Simulation
roseFlower,iran,generalOrUnknown,EmblematicSimulation
roseFlower,joy,grecoRoman @ heraldic,Simulation
roseFlower,love,flowerLanguage,Simulation
roseFlower,mysticCenter,generalOrUnknown,Simulation
roseFlower,prosperity,chinese,Simulation
roseFlower,regeneration,rosicrucian,AssociationSimulation
roseFlower,resurrection,grecoRoman @ rosicrucian,AssociationSimulation @ Simulation
roseFlower,secrecy,generalOrUnknown,Simulation
roseFlower,seduction,generalOrUnknown,Simulation
roseFlower,silence,heraldic,Simulation
roseFlower,taurus,generalOrUnknown,AssociationSimulation
roseFlower,theHeart,generalOrUnknown,Simulation
roseFlower,theMuses,grecoRoman,EmblematicSimulation
roseFlower,theThreeGraces,grecoRoman,EmblematicSimulation
roseFlower,theTreeOfLife,rosicrucian,AssociationSimulation
roseFlower,theVirginMary,christian,Simulation
roseFlower,virtue,alchemic,Simulation
roseFlower,vulva,generalOrUnknown,Simulation
roseFlower,youth,heraldic,Simulation
saffron,charity,generalOrUnknown,Simulation
saffron,eos,greek,Simulation
saffron,humility,generalOrUnknown,Simulation
saffron,love,generalOrUnknown,Simulation
saffron,magic,generalOrUnknown,Simulation
serpent,theSubconscious,heraldic,Simulation
serpent,thunder,northAmericanIndian,AssociationSimulation
serpent,vaisravenna,chinese,AttributeSimulation
serpent,vigilance,heraldic,Simulation
serpent,water,african,AssociationSimulation
reed,worldAxis,indic,Simulation
rending,anger,generalOrUnknown,Simulation
rending,grief,generalOrUnknown,Simulation
rending,mourning,generalOrUnknown,Simulation
rending,penitence,generalOrUnknown,Simulation
resin,immortality,generalOrUnknown,Simulation
resin,incorruptibility,generalOrUnknown,Simulation
resin,purity,generalOrUnknown,Simulation
resin,regeneration,generalOrUnknown,Simulation
resin,resurrection,generalOrUnknown,Simulation
reed,docility,flowerLanguage @ generalOrUnknown,Simulation
reed,fertility,generalOrUnknown @ mexicanIndian,Simulation
reed,harmony,celtic @ grecoRoman,Simulation
reed,learning,chinese @ japanese,Simulation
reed,music,flowerLanguage @ grecoRoman,Simulation
ring,authority,chinese,Simulation
ring,continuity,generalOrUnknown,Simulation
ring,dignity,chinese,Simulation
ring,eternity,chinese @ christian @ generalOrUnknown,Simulation
ring,fertility,generalOrUnknown,Simulation
ring,invisibility,generalOrUnknown,Simulation
ring,justice,generalOrUnknown,Simulation
ring,marriage,generalOrUnknown,Simulation
ring,mourning,generalOrUnknown,Simulation
ring,power,generalOrUnknown,Simulation
ring,slavery,generalOrUnknown,Simulation
ring,union,generalOrUnknown,Simulation
ring,unity,christian,Simulation
ring,wholeness,generalOrUnknown,Simulation
sealStamp,authorization,generalOrUnknown,Simulation
scuppernong,northCarolina,generalOrUnknown,Simulation
scythemen,poland,generalOrUnknown,Simulation
seaBream,ebisu,japanese,AttributeSimulation
sealOfAlabama,alabama,generalOrUnknown,Simulation
sealOfAlaska,alaska,generalOrUnknown,Simulation
sealOfArizona,arizona,generalOrUnknown,Simulation
sealOfColorado,colorado,generalOrUnknown,Simulation
sealOfConnecticut,connecticut,generalOrUnknown,Simulation
sealOfDelaware,delaware,generalOrUnknown,Simulation
sealOfFlorida,florida,generalOrUnknown,Simulation
sealOfGeorgiaUSState,georgiaUSState,generalOrUnknown,Simulation
sealOfHawaii,hawaii,generalOrUnknown,Simulation
sealOfIndiana,indiana,generalOrUnknown,Simulation
sealOfIowa,iowa,generalOrUnknown,Simulation
sealOfKansas,kansas,generalOrUnknown,Simulation
sealOfKentucky,kentucky,generalOrUnknown,Simulation
sealOfLouisiana,louisiana,generalOrUnknown,Simulation
sealOfMadagascar,madagascar,generalOrUnknown,Simulation
sealOfMaine,maine,generalOrUnknown,Simulation
sealOfMaryland,maryland,generalOrUnknown,Simulation
sealOfMassachusetts,massachusetts,generalOrUnknown,Simulation
sealOfMauritania,mauritania,generalOrUnknown,Simulation
sealOfMichigan,michigan,generalOrUnknown,Simulation
sealOfMilwaukee,wisconsin,generalOrUnknown,Simulation
sealOfMinnesota,minnesota,generalOrUnknown,Simulation
sealOfMississippi,mississippi,generalOrUnknown,Simulation
sealOfMontana,montana,generalOrUnknown,Simulation
sealOfNebraska,nebraska,generalOrUnknown,Simulation
sealOfNevada,nevada,generalOrUnknown,Simulation
sealOfNewMexico,newMexico,generalOrUnknown,Simulation
sealOfNewYorkCity,newYorkCity,generalOrUnknown,Simulation
sealOfNewZealand,newZealand,generalOrUnknown,Simulation
sealOfNiue,niue,generalOrUnknown,Simulation
sealOfNorthCarolina,northCarolina,generalOrUnknown,Simulation
sealOfNorthDakota,northDakota,generalOrUnknown,Simulation
sealOfOhio,ohio,generalOrUnknown,Simulation
sealOfOklahoma,oklahoma,generalOrUnknown,Simulation
sealOfOregon,oregon,generalOrUnknown,Simulation
sealOfPalau,palau,generalOrUnknown,Simulation
sealOfPennsylvania,pennsylvania,generalOrUnknown,Simulation
sealOfRhodeIsland,rhodeIsland,generalOrUnknown,Simulation
sealOfRwanda,rwanda,generalOrUnknown,Simulation
sealOfSouthCarolina,southCarolina,generalOrUnknown,Simulation
sealOfSouthDakota,southDakota,generalOrUnknown,Simulation
sealOfSouthKorea,southKorea,generalOrUnknown,Simulation
sealOfTbilisi,georgiaCountry,generalOrUnknown,Simulation
sealOfTennessee,tennessee,generalOrUnknown,Simulation
sealOfTexas,texas,generalOrUnknown,Simulation
sealOfTheConfederateStates,theConfederateStates,generalOrUnknown,Simulation
sealOfTheDistrictOfColumbia,theDistrictOfColumbia,generalOrUnknown,Simulation
sealOfTheFederatedStatesOfMicronesia,theFederatedStatesOfMicronesia,generalOrUnknown,Simulation
sealOfTheMarshallIslands,theMarshallIslands,generalOrUnknown,Simulation
sealOfTheNorthernMarianaIslands,theNorthernMarianaIslands,generalOrUnknown,Simulation
sealOfThePresidentOfIreland,theRepublicOfIreland,generalOrUnknown,Simulation
sealOfThePresidentOfNigeria,nigeria,generalOrUnknown,Simulation
sealOfThePresidentOfThePhilippines,thePhilippines,generalOrUnknown,Simulation
sealOfThePresidentOfTheUnitedStates,theUnitedStates,generalOrUnknown,Simulation
sealOfThePresidentOfUkraine,ukraine,generalOrUnknown,Simulation
sealOfTheUnitedStatesSenate,theUnitedStates,generalOrUnknown,Simulation
sealOfTheVicePresidentOfThePhilippines,thePhilippines,generalOrUnknown,Simulation
sealOfUtah,utah,generalOrUnknown,Simulation
sealOfVermont,vermont,generalOrUnknown,Simulation
sealOfWashington,washingtonState,generalOrUnknown,Simulation
sealOfWisconsin,wisconsin,generalOrUnknown,Simulation
sealOfWyoming,wyoming,generalOrUnknown,Simulation
sealStamp,authenticity,generalOrUnknown,Simulation
sealStamp,conclusion,generalOrUnknown,Simulation
sealStamp,identity,generalOrUnknown,Simulation
sealStamp,possession,generalOrUnknown,Simulation
sealStamp,theScrollOfFate,christian,AttributeSimulation
seaUrchin,latentForce,generalOrUnknown,Simulation
seaUrchin,thePrimordialSeed,generalOrUnknown,Simulation
sedge,refugeOfTheLover,generalOrUnknown,Simulation
seedsOfGrain,persephone,greek,Simulation
seiGesegnetOhneEnde,austria,generalOrUnknown,Simulation
seitzSoil,colorado,generalOrUnknown,Simulation
seljukEternitySign,turkey,generalOrUnknown,Simulation
semperFidelis,poland,generalOrUnknown,Simulation
senvy,indifference,flowerLanguage,Simulation
septfoil,theSevenGiftsOfTheHolySpiritSacramentsOfPreReformationTimes,christian,Simulation
sequoiaSempervirens,california,generalOrUnknown,Simulation
serbianCross,serbia,generalOrUnknown,Simulation
serbianEagle,serbia,generalOrUnknown,Simulation
sealStamp,individuation,generalOrUnknown,Simulation
sealStamp,ownership,generalOrUnknown,Simulation
sealStamp,individuality,generalOrUnknown,Simulation
sealStamp,authority,generalOrUnknown,Simulation
sealStamp,love,generalOrUnknown,Simulation
sealStamp,power,generalOrUnknown,Simulation
sealStamp,preservation,generalOrUnknown,Simulation
sealStamp,secrecy,generalOrUnknown,Simulation
sealStamp,security,generalOrUnknown,Simulation
sealStamp,virginity,generalOrUnknown,Simulation
seaUrchin,cosmicEgg,generalOrUnknown,Simulation
seaUrchin,immortality,generalOrUnknown,Simulation
seaUrchin,lifeForce,generalOrUnknown,Simulation
seaUrchin,resurrection,generalOrUnknown,Simulation
seaUrchin,sacredToAphroditeVenus,grecoRoman,Simulation
seaUrchin,sunEmblem,generalOrUnknown,Simulation
saffron,renunciation,generalOrUnknown,Simulation
saffron,theSun,generalOrUnknown,AssociationSimulation
scissors,barbers,generalOrUnknown,AttributeSimulation
sceptre,paxGoddess,roman,Simulation
schinopsisBalansae,argentina,generalOrUnknown,Simulation
schinus,religiousEnthusiasm,flowerLanguage,Simulation
scissors,atropos,grecoRoman,AttributeSimulation
scissors,delilah,jewish,AttributeSimulation
scissors,physicalExtermination,generalOrUnknown,Simulation
scissors,sheepShearers,generalOrUnknown,AttributeSimulation
scissors,tailors,generalOrUnknown,AttributeSimulation
scissors,twoIndependentEntitiesWorkingTogether,generalOrUnknown,Simulation
scissors,usuallyAnOccupationalSignBarbersTailorsSheepShearers,heraldic,Simulation
scissorTailedFlycatcher,oklahoma,generalOrUnknown,Simulation
scobeySoil,montana,generalOrUnknown,Simulation
scotchBonnetSeaSnail,northCarolina,generalOrUnknown,Simulation
scotlandTheBrave,scotland,generalOrUnknown,Simulation
scratchWeed,hardness,flowerLanguage,Simulation
screwdriver,phallus,generalOrUnknown,Simulation
scrip,pilgrimage,christian,AssociationSimulation
scroll,academicSuccess,heraldic,Simulation
scroll,decreesOfFate,generalOrUnknown,Simulation
scroll,grammar,generalOrUnknown,AttributeSimulation
scroll,holyScripture,christian,Simulation
scroll,legalDocument,generalOrUnknown,Simulation
scroll,lowerEgypt,egyptian,EmblematicSimulation
scroll,punishmentOfGod,generalOrUnknown,Simulation
scroll,sometimesMerelyOrnamentation,generalOrUnknown,Simulation
