symbol,label
brotherhoodLinks,Brotherhood Links
brownPelican,Brown pelican
brownThrasher,Brown thrasher
bryony,bryony
bTchamriengNeySathAranakrThPracheameanitKMpChA,Bâtchamrieng ney Sathéaranakrâth Pracheameanit Kâmpŭchéa
bucentaur,Bucentaur
bucephalus,Bucephalus
buckbean,buckbean
buckingHorseAndRider,Bucking Horse and Rider
buckler,buckler
bulavaOfThePresidentOfUkraine,Bulava of the President of Ukraine
bullfight,bullfight
bullTrout,Bull trout
bullWithThreeCranes,Bull with three cranes
burdock,burdock
burdock,burdock
burdock,burdock
burdock,burdock
burdock,burdock
burundiBwacu,Burundi Bwacu
buteaMonosperma,Butea monosperma
butterburr,butterburr
cabinet,cabinet
cable,cable
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bell,Bell
bellClapper,bell clapper
bellflower,bellflower
bellOnACrutch,bell on a crutch
bellOnARope,bell on a rope
bellOrClockTower,bell or clock tower
bellows,bellows
bellows,bellows
bellows,bellows
bellows,bellows
bellows,bellows
bellRinging,bell ringing
bellsAndPomegranatesOnVestments,bells and pomegranates on vestments
bellsOnOneSPerson,bells on one’s person
bellTower,bell tower
bellyOfTheWhale,belly of the whale
belshazzarKing,"Belshazzar, King"
belshazzarKing,"Belshazzar, King"
belt,belt
belt,belt
belt,belt
belt,belt
belt,belt
axe,axe
axe,axe
axe,axe
axe,axe
azerbaijaniRug,Azerbaijani rug
azRbaycanMar,Azərbaycan marşı
babingtonite,Babingtonite
bagalaMukhi,Bagala-mukhi
bagFullOfMoney,bag full of money
bahrainona,Bahrainona
baitulMukarramNationalMosque,Baitul Mukarram National Mosque
baldEagle,Bald eagle
baltimoreCheckerspot,Baltimore checkerspot
bamaSoil,Bama (soil)
bandura,Bandura
bangamata,Bangamata
banjo,banjo
bannackMontana,"Bannack, Montana"
bannerOfPoland,Banner of Poland
banyan,Banyan
barbadianNationalHeroes,Barbadian National Heroes
barbadosNationalPledge,Barbados National Pledge
barbaryMacaquesInGibraltar,Barbary macaques in Gibraltar
barnSwallow,Barn swallow
barongTagalog,Barong tagalog
baroTSaya,Baro't saya
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
basilisk,basilisk
batik,Batik
bauhiniaBlakeana,Bauhinia × blakeana
bauhiniaVariegata,Bauhinia variegata
bayTopography,bay (topography)
beardedCrepis,bearded crepis
beautifulNebraska,Beautiful Nebraska
beautifulOhio,Beautiful Ohio
beautifulWoman,Beautiful woman
beckoningHand,Beckoning hand
beehiveCluster,Beehive Cluster
bees,bees
BelarusianReferendum,1995 Belarusian referendum
belauRekid,Belau rekid
belphegor,Belphegor
belvedere,belvedere
bend,bend
benderaPusaka,Bendera Pusaka
bendSinister,bend sinister
benitoite,Benitoite
benjamin,Benjamin
bertieBeaver,Bertie Beaver
betulaAlleghaniensis,Betula alleghaniensis
betulaPendula,Betula pendula
bevareGudVRKung,Bevare Gud vår kung
bezoar,bezoar
bharatMata,Bharat Mata
bharotoBhagyoBidhata,Bharoto Bhagyo Bidhata
bhinnekaTunggalIka,Bhinneka Tunggal Ika
bhutanTakin,Bhutan takin
bident,Bident
bigApple,Big Apple
bihu,Bihu
bilberry,bilberry
billowingCloak,billowing cloak
billyYank,Billy Yank
birdOfParadisePlant,bird of paradise (plant)
bismarckMonument,Bismarck monument
bitterroot,Bitterroot
bittersweetPlant,bittersweet (plant)
bituminousCoal,Bituminous coal
blackbuck,Blackbuck
blackCappedChickadee,Black-capped chickadee
blackFrancolin,Black francolin
blackHillsGoldJewelry,Black Hills gold jewelry
blackMadonnaOfCzStochowa,Black Madonna of Częstochowa
blackRibbonDay,Black Ribbon Day
blacksmithSHammer,Blacksmith's hammer
blaeberry,blaeberry
blazingTorch,Blazing Torch
bleuDeFranceColour,Bleu de France (colour)
blighiaSapida,Blighia sapida
blindmanSBluff,blindman’s bluff
cauldron,cauldron
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cave,cave
cecilSoil,Cecil (soil)
cedrelaTree,cedrela tree
cedrusDeodara,Cedrus deodara
cedrusLibani,Cedrus libani
celandine,celandine
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
cellar,cellar
celticHarp,Celtic harp
cereal,cereal
ceroxylonQuindiuense,Ceroxylon quindiuense
chakett,Chakett
chalk,chalk
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chamomile,chamomile
chancel,chancel
charlesIves,Charles Ives
charlotteWhale,Charlotte whale
charoset,charoset
charro,Charro
charterOak,Charter Oak
